*Vin, 5V*,,,,
8,5,,,,
*R0, R1, R2, R3, R4, R5*
509.8,509.8,510,510,509.8,510
*Measurement, % Error, Device_Resistance*,,,
01ii,0.157471521,362.1466571,,,
01io,0.174333661,366.4688391,,,
01oi,0.224649872,393.5326491,,,
01oo,0.22140142,387.0053667,,,
02ii,0.2208827,386.7476401,,,
02io,0.247187331,412.1276383,,,
02oi,0.215660513,387.3997526,,,
02oo,0.216280817,394.2279594,,,
03ii,0.22502021,385.5664712,,,
03io,0.222438169,385.901138,,,
03oi,0.235942573,391.0796554,,,
03oo,0.22502021,385.5664712,,,
04ii,0.221857569,380.7856782,,,
04io,0.232705155,386.1704271,,,
04oi,0.230157246,386.5134704,,,
04oo,0.238482658,392.3844575,,,
05ii,0.2,380,,,
05io,0.146856686,421.1762311,,,
05oi,0.108481012,396.5854929,,,
05oo,0.223953652,487.8334138,,,
06ii,0.2,380,,,
06io,0.2,380,,,
06oi,0.108525891,390.2333095,,,
06oo,0.102169929,390.6231242,,,
07ii,0.107931178,389.9730873,,,
07io,0.10172053,384.1453085,,,
07oi,0.196779422,447.3599004,,,
07oo,0.196779422,447.3599004,,,
08ii,0.118521462,389.8815798,,,
08io,0.2,380,,,
08oi,0.109229613,384.2478536,,,
08oo,0.2,380,,,
09ii,0.112951674,384.2934094,,,
09io,0.131405531,389.2747801,,,
09oi,0.134544768,395.49029,,,
09oo,0.131405531,389.2747801,,,
10ii,0.142027389,390.8914646,,,
10io,0.142149854,397.3767991,,,
10oi,0.139025278,391.1218725,,,
10oo,0.136094067,397.8141474,,,
11ii,0.135857321,386.5169802,,,
11io,0.142023501,392.4890084,,,
11oi,0.145012171,392.2564245,,,
11oo,0.226046461,451.32913,,,
12ii,0.196612613,426.0526779,,,
12io,0.132538353,383.4661426,,,
12oi,0.135590539,389.5673485,,,
12oo,0.156881308,401.040176,,,
13ii,0.143802641,387.077088,,,
13io,0.107501591,371.3292335,,,
13oi,0.134756764,381.4631417,,,
13oo,0.137750524,381.2214406,,,
14ii,0.144262794,380.9816769,,,
14io,0.104983181,371.8030119,,,
14oi,0.129343892,375.99319,,,
14oo,0.117166038,376.9351673,,,
15ii,0.135914824,375.7518363,,,
15io,0.135914824,375.7518363,,,
15oi,0.256718817,458.8236298,,,
15oo,0.127024856,370.3968087,,,
16ii,0.143643223,374.4871619,,,
16io,0.152488406,379.9600078,,,
16oi,0.140697823,374.7451613,,,
16oo,0.158473102,385.8270582,,,
17ii,0.11190613,370.1246162,,,
17io,0.139257468,392.9809167,,,
17oi,0.123985605,375.2296909,,,
17oo,0.123985605,375.2296909,,,
18ii,0.15806136,393.6341564,,,
18io,0.125037828,377.224801,,,
18oi,0.143110552,388.350869,,,
18oo,0.118929354,377.6897407,,,
19ii,0.148911611,381.4913884,,,
19io,0.2,380,,,
19oi,0.137065404,376.2529721,,,
19oo,0.2,380,,,
20ii,0.134761173,375.2507006,,,
20io,0.128863733,369.6530171,,,
20oi,0.137737175,374.9996742,,,
20oo,0.2,380,,,
21ii,0.133429995,368.4036168,,,
21io,0.139340839,367.8809557,,,
21oi,0.127617667,362.9359863,,,
21oo,0.145191308,367.3445403,,,
22ii,0.146333337,367.8361049,,,
22io,0.102165063,354.1055252,,,
22oi,0.175712906,390.5150538,,,
22oo,0.161130733,385.3088835,,,
23ii,0.153247782,367.7760278,,,
23io,0.153247782,367.7760278,,,
23oi,0.161889714,373.1149258,,,
23oo,0.170558951,378.5824718,,,
24ii,0.150924353,363.7323558,,,
24io,0.110986672,344.5052786,,,
24oi,0.150924353,363.7323558,,,
24oo,0.130962997,353.8986559,,,
